job_id,company_id,company_name,company_type,is_newly_founded,company_industry,job_title,role_category,job_description,responsibilities,requirements,skills_required,job_type,workplace_type,location,salary_min,salary_max,salary_currency,salary_period,experience_level,experience_years_min,experience_years_max,competition_level,applicant_count,is_fresher_friendly,is_early_applicant,freshness_label,is_active,posted_at
21,2,Microsoft,MNC,False,Software & AI Solutions,Data Analyst (Job Market & Hiring Intelligence),Data Analytics,"Analyze salary benchmarks, hiring velocity, and user swipe engagement patterns to generate market insights.",Write complex SQL queries for analytics; build executive Tableau dashboards; calculate candidate conversion funnels.,Proficient in SQL and statistical data analysis in Python (Pandas/Seaborn).,"[""SQL"", ""Python"", ""Pandas"", ""Tableau"", ""PowerBI"", ""Data Modeling"", ""Excel""]",Full-time,Remote,Remote (Global),971681,1714732,INR,Per Annum,Entry-level,1,3,Medium,149,True,False,Recently Posted,True,2026-09-10 03:06:02
22,3,Amazon,MNC,False,E-commerce & Cloud Computing (AWS),Software Development Engineer in Test (SDET / QA),QA/Testing,"Build automated test suites for REST APIs, validate RBAC security policies, and maintain regression test beds.",Develop automated integration test cases using Pytest; maintain Postman collections; perform load and security tests.,Strong Python test automation skills and deep understanding of HTTP status codes and API specifications.,"[""Python"", ""Pytest"", ""Postman"", ""REST APIs"", ""Selenium"", ""Jest"", ""CI/CD""]",Full-time,On-site,"Mumbai, Maharashtra, India",818948,1433160,INR,Per Annum,Entry-level,1,3,Medium,71,True,False,Just Posted,True,2026-09-12 08:06:02
23,3,Amazon,MNC,False,E-commerce & Cloud Computing (AWS),AI / Machine Learning Engineer (NLP & Vector Search),AI/ML,"Develop semantic matching engines, ATS scoring models, and candidate recommendation algorithms.",Train embedding models for resume-to-job similarity; optimize cosine distance calculations; build ML inference APIs.,"Proven experience in NLP, embeddings, vector similarity search, and deep learning frameworks.","[""Python"", ""PyTorch"", ""Hugging Face"", ""spaCy"", ""sentence-transformers"", ""Vector DB"", ""ChromaDB"", ""scikit-learn""]",Full-time,On-site,"Bengaluru, Karnataka, India",2192087,3897043,INR,Per Annum,Mid-level,2,5,Medium,62,False,False,Active,True,2026-09-07 21:06:02
24,3,Amazon,MNC,False,E-commerce & Cloud Computing (AWS),Full Stack Engineer (FastAPI + React),Full Stack,Lead end-to-end feature delivery across frontend client apps and scalable backend services.,"Architect database schemas, implement business APIs, and craft pixel-perfect user dashboards.",Full-stack proficiency with Python/FastAPI backend and React/Next.js frontend.,"[""Python"", ""FastAPI"", ""React"", ""TypeScript"", ""PostgreSQL"", ""Docker"", ""Tailwind CSS""]",Full-time,On-site,"Delhi NCR / Gurugram, India",1782773,3119852,INR,Per Annum,Mid-level,3,6,Medium,69,False,False,Active,True,2026-09-06 11:06:02
25,3,Amazon,MNC,False,E-commerce & Cloud Computing (AWS),AI / Machine Learning Engineer (NLP & Vector Search),AI/ML,"Develop semantic matching engines, ATS scoring models, and candidate recommendation algorithms.",Train embedding models for resume-to-job similarity; optimize cosine distance calculations; build ML inference APIs.,"Proven experience in NLP, embeddings, vector similarity search, and deep learning frameworks.","[""Python"", ""PyTorch"", ""Hugging Face"", ""spaCy"", ""sentence-transformers"", ""Vector DB"", ""ChromaDB"", ""scikit-learn""]",Full-time,Remote,"Bengaluru, Karnataka, India",1823636,3242021,INR,Per Annum,Mid-level,2,5,High,112,False,False,Active,True,2026-08-27 11:06:02
26,3,Amazon,MNC,False,E-commerce & Cloud Computing (AWS),Generative AI & LLM Systems Engineer,AI/ML,"Architect autonomous AI agents, structured LLM extraction pipelines, and RAG document search systems.",Build agentic workflows with LangChain; implement prompt guardrails and evaluation metrics; optimize token latency.,4+ years engineering experience with 2+ years deploying production RAG / LLM systems.,"[""Python"", ""OpenAI API"", ""LangChain"", ""LlamaIndex"", ""RAG"", ""Prompt Engineering"", ""FastAPI""]",Full-time,Hybrid,"Chennai, Tamil Nadu, India",2740548,4795959,INR,Per Annum,Senior,4,8,High,86,False,False,Active,True,2026-09-03 15:06:02
27,3,Amazon,MNC,False,E-commerce & Cloud Computing (AWS),Generative AI & LLM Systems Engineer,AI/ML,"Architect autonomous AI agents, structured LLM extraction pipelines, and RAG document search systems.",Build agentic workflows with LangChain; implement prompt guardrails and evaluation metrics; optimize token latency.,4+ years engineering experience with 2+ years deploying production RAG / LLM systems.,"[""Python"", ""OpenAI API"", ""LangChain"", ""LlamaIndex"", ""RAG"", ""Prompt Engineering"", ""FastAPI""]",Full-time,On-site,"Pune, Maharashtra, India",2784314,4872550,INR,Per Annum,Senior,4,8,High,58,False,False,Active,True,2026-08-30 15:06:02
28,3,Amazon,MNC,False,E-commerce & Cloud Computing (AWS),AI Research & NLP Intern,AI/ML,Join our AI research team to perform exploratory data analysis on resume datasets and fine-tune NLP tokenizers.,Perform EDA and data cleaning on unstructured text; evaluate heuristic vs transformer matching scores.,Strong Python coding ability and academic foundation in statistical machine learning and NLP.,"[""Python"", ""Pandas"", ""NumPy"", ""scikit-learn"", ""spaCy"", ""NLP"", ""PyTorch""]",Internship,Remote,"Delhi NCR / Gurugram, India",37818,64831,INR,Per Month,Fresher,0,1,Medium,104,True,False,Active,True,2026-09-06 14:06:02
29,3,Amazon,MNC,False,E-commerce & Cloud Computing (AWS),"Frontend Engineer (React.js, TypeScript & Tailwind)",Frontend,"Craft responsive swipe interfaces, analytics dashboards, and interactive user journeys.",Build modular UI components in React with Tailwind CSS; integrate REST APIs with graceful error handling.,"2+ years experience with modern React, TypeScript, state management (Redux/Context), and CSS animations.","[""React"", ""TypeScript"", ""Tailwind CSS"", ""Redux"", ""Framer Motion"", ""REST APIs"", ""Next.js""]",Full-time,Remote,"Mumbai, Maharashtra, India",1313470,2408028,INR,Per Annum,Mid-level,2,4,High,214,False,False,Active,True,2026-08-28 12:06:02
30,3,Amazon,MNC,False,E-commerce & Cloud Computing (AWS),Backend Software Engineer (Python / FastAPI),Backend,Design and build high-throughput RESTful services and distributed data pipelines.,Develop modular backend microservices in FastAPI; optimize database queries in PostgreSQL; configure Redis caching.,"Strong background in Python 3.10+, SQLAlchemy, async programming, and Docker containerization.","[""Python"", ""FastAPI"", ""PostgreSQL"", ""Redis"", ""Docker"", ""REST APIs"", ""Microservices""]",Full-time,On-site,"Chennai, Tamil Nadu, India",1407655,2413123,INR,Per Annum,Mid-level,2,5,High,196,False,False,Active,True,2026-08-29 06:06:02
31,3,Amazon,MNC,False,E-commerce & Cloud Computing (AWS),Backend Software Engineer (Python / FastAPI),Backend,Design and build high-throughput RESTful services and distributed data pipelines.,Develop modular backend microservices in FastAPI; optimize database queries in PostgreSQL; configure Redis caching.,"Strong background in Python 3.10+, SQLAlchemy, async programming, and Docker containerization.","[""Python"", ""FastAPI"", ""PostgreSQL"", ""Redis"", ""Docker"", ""REST APIs"", ""Microservices""]",Full-time,On-site,"Noida, Uttar Pradesh, India",1561209,2676358,INR,Per Annum,Mid-level,2,5,High,107,False,False,Active,True,2026-09-06 18:06:02
32,3,Amazon,MNC,False,E-commerce & Cloud Computing (AWS),AI Research & NLP Intern,AI/ML,Join our AI research team to perform exploratory data analysis on resume datasets and fine-tune NLP tokenizers.,Perform EDA and data cleaning on unstructured text; evaluate heuristic vs transformer matching scores.,Strong Python coding ability and academic foundation in statistical machine learning and NLP.,"[""Python"", ""Pandas"", ""NumPy"", ""scikit-learn"", ""spaCy"", ""NLP"", ""PyTorch""]",Internship,On-site,"Noida, Uttar Pradesh, India",37972,65095,INR,Per Month,Fresher,0,1,High,209,True,False,Active,True,2026-09-05 21:06:02
33,3,Amazon,MNC,False,E-commerce & Cloud Computing (AWS),"Frontend Engineer (React.js, TypeScript & Tailwind)",Frontend,"Craft responsive swipe interfaces, analytics dashboards, and interactive user journeys.",Build modular UI components in React with Tailwind CSS; integrate REST APIs with graceful error handling.,"2+ years experience with modern React, TypeScript, state management (Redux/Context), and CSS animations.","[""React"", ""TypeScript"", ""Tailwind CSS"", ""Redux"", ""Framer Motion"", ""REST APIs"", ""Next.js""]",Full-time,On-site,"Hyderabad, Telangana, India",1229187,2253510,INR,Per Annum,Mid-level,2,4,High,158,False,False,Active,True,2026-08-31 07:06:02
34,4,Adobe,MNC,False,Creative & Cloud Software,"Frontend Engineer (React.js, TypeScript & Tailwind)",Frontend,"Craft responsive swipe interfaces, analytics dashboards, and interactive user journeys.",Build modular UI components in React with Tailwind CSS; integrate REST APIs with graceful error handling.,"2+ years experience with modern React, TypeScript, state management (Redux/Context), and CSS animations.","[""React"", ""TypeScript"", ""Tailwind CSS"", ""Redux"", ""Framer Motion"", ""REST APIs"", ""Next.js""]",Full-time,Hybrid,"Mumbai, Maharashtra, India",1441583,2642902,INR,Per Annum,Mid-level,2,4,Medium,217,False,False,Active,True,2026-09-04 01:06:02
35,4,Adobe,MNC,False,Creative & Cloud Software,AI Research & NLP Intern,AI/ML,Join our AI research team to perform exploratory data analysis on resume datasets and fine-tune NLP tokenizers.,Perform EDA and data cleaning on unstructured text; evaluate heuristic vs transformer matching scores.,Strong Python coding ability and academic foundation in statistical machine learning and NLP.,"[""Python"", ""Pandas"", ""NumPy"", ""scikit-learn"", ""spaCy"", ""NLP"", ""PyTorch""]",Internship,Remote,"Hyderabad, Telangana, India",43206,74068,INR,Per Month,Fresher,0,1,High,104,True,False,Active,True,2026-09-06 15:06:02
36,4,Adobe,MNC,False,Creative & Cloud Software,Backend Software Engineer (Python / FastAPI),Backend,Design and build high-throughput RESTful services and distributed data pipelines.,Develop modular backend microservices in FastAPI; optimize database queries in PostgreSQL; configure Redis caching.,"Strong background in Python 3.10+, SQLAlchemy, async programming, and Docker containerization.","[""Python"", ""FastAPI"", ""PostgreSQL"", ""Redis"", ""Docker"", ""REST APIs"", ""Microservices""]",Full-time,Remote,"Remote, India",1696928,2909019,INR,Per Annum,Mid-level,2,5,Medium,155,False,False,Active,True,2026-08-27 21:06:02
37,4,Adobe,MNC,False,Creative & Cloud Software,Data Analyst (Job Market & Hiring Intelligence),Data Analytics,"Analyze salary benchmarks, hiring velocity, and user swipe engagement patterns to generate market insights.",Write complex SQL queries for analytics; build executive Tableau dashboards; calculate candidate conversion funnels.,Proficient in SQL and statistical data analysis in Python (Pandas/Seaborn).,"[""SQL"", ""Python"", ""Pandas"", ""Tableau"", ""PowerBI"", ""Data Modeling"", ""Excel""]",Full-time,Hybrid,"Pune, Maharashtra, India",914841,1614425,INR,Per Annum,Entry-level,1,3,High,165,True,False,Active,True,2026-08-27 10:06:02
38,4,Adobe,MNC,False,Creative & Cloud Software,DevOps & Cloud Infrastructure Engineer,DevOps,Maintain containerized multi-service architectures and automate continuous integration and deployment pipelines.,Configure Docker Compose and Kubernetes pods; maintain CI workflows; manage AWS cloud resources.,"Solid experience in Docker containerization, Linux systems administration, and GitHub Actions CI.","[""Docker"", ""Kubernetes"", ""AWS"", ""GitHub Actions"", ""Terraform"", ""Linux"", ""PostgreSQL"", ""Redis""]",Full-time,On-site,"Noida, Uttar Pradesh, India",1589148,2754524,INR,Per Annum,Mid-level,2,5,High,152,False,False,Active,True,2026-08-31 20:06:02
39,4,Adobe,MNC,False,Creative & Cloud Software,Software Development Engineer in Test (SDET / QA),QA/Testing,"Build automated test suites for REST APIs, validate RBAC security policies, and maintain regression test beds.",Develop automated integration test cases using Pytest; maintain Postman collections; perform load and security tests.,Strong Python test automation skills and deep understanding of HTTP status codes and API specifications.,"[""Python"", ""Pytest"", ""Postman"", ""REST APIs"", ""Selenium"", ""Jest"", ""CI/CD""]",Full-time,On-site,"Delhi NCR / Gurugram, India",957827,1676197,INR,Per Annum,Entry-level,1,3,High,168,True,False,Active,True,2026-08-25 15:06:02
40,4,Adobe,MNC,False,Creative & Cloud Software,Generative AI & LLM Systems Engineer,AI/ML,"Architect autonomous AI agents, structured LLM extraction pipelines, and RAG document search systems.",Build agentic workflows with LangChain; implement prompt guardrails and evaluation metrics; optimize token latency.,4+ years engineering experience with 2+ years deploying production RAG / LLM systems.,"[""Python"", ""OpenAI API"", ""LangChain"", ""LlamaIndex"", ""RAG"", ""Prompt Engineering"", ""FastAPI""]",Full-time,Remote,"Mumbai, Maharashtra, India",2915821,5102687,INR,Per Annum,Senior,4,8,Medium,132,False,False,Just Posted,True,2026-09-13 01:06:02
41,4,Adobe,MNC,False,Creative & Cloud Software,"Frontend Engineer (React.js, TypeScript & Tailwind)",Frontend,"Craft responsive swipe interfaces, analytics dashboards, and interactive user journeys.",Build modular UI components in React with Tailwind CSS; integrate REST APIs with graceful error handling.,"2+ years experience with modern React, TypeScript, state management (Redux/Context), and CSS animations.","[""React"", ""TypeScript"", ""Tailwind CSS"", ""Redux"", ""Framer Motion"", ""REST APIs"", ""Next.js""]",Full-time,Hybrid,"Bengaluru, Karnataka, India",1356464,2486851,INR,Per Annum,Mid-level,2,4,High,79,False,False,Active,True,2026-08-28 15:06:02
42,4,Adobe,MNC,False,Creative & Cloud Software,Product Designer (UI/UX & Mobile Interactions),Design,"Design high-converting swipe interfaces, seamless recruiter portals, and accessible design system components.","Create user flows, wireframes, and interactive prototypes in Figma; conduct usability tests with job seekers.","Strong design portfolio with expertise in auto-layout, mobile micro-interactions, and design systems.","[""Figma"", ""UI/UX Design"", ""Wireframing"", ""Prototyping"", ""Design Systems"", ""User Research""]",Full-time,Remote,"Pune, Maharashtra, India",1183897,2044913,INR,Per Annum,Mid-level,2,4,High,168,False,False,Active,True,2026-08-26 16:06:02
43,5,Tata Consultancy Services (TCS),MNC,False,IT Services & Consulting,Full Stack Engineer (FastAPI + React),Full Stack,Lead end-to-end feature delivery across frontend client apps and scalable backend services.,"Architect database schemas, implement business APIs, and craft pixel-perfect user dashboards.",Full-stack proficiency with Python/FastAPI backend and React/Next.js frontend.,"[""Python"", ""FastAPI"", ""React"", ""TypeScript"", ""PostgreSQL"", ""Docker"", ""Tailwind CSS""]",Full-time,Remote,"Mumbai, Maharashtra, India",1739391,3043934,INR,Per Annum,Mid-level,3,6,Medium,200,False,False,Active,True,2026-09-04 18:06:02
44,5,Tata Consultancy Services (TCS),MNC,False,IT Services & Consulting,Backend Software Engineer (Python / FastAPI),Backend,Design and build high-throughput RESTful services and distributed data pipelines.,Develop modular backend microservices in FastAPI; optimize database queries in PostgreSQL; configure Redis caching.,"Strong background in Python 3.10+, SQLAlchemy, async programming, and Docker containerization.","[""Python"", ""FastAPI"", ""PostgreSQL"", ""Redis"", ""Docker"", ""REST APIs"", ""Microservices""]",Full-time,Remote,Remote (Global),1495065,2562969,INR,Per Annum,Mid-level,2,5,High,77,False,False,Active,True,2026-09-03 01:06:02
45,5,Tata Consultancy Services (TCS),MNC,False,IT Services & Consulting,Product Designer (UI/UX & Mobile Interactions),Design,"Design high-converting swipe interfaces, seamless recruiter portals, and accessible design system components.","Create user flows, wireframes, and interactive prototypes in Figma; conduct usability tests with job seekers.","Strong design portfolio with expertise in auto-layout, mobile micro-interactions, and design systems.","[""Figma"", ""UI/UX Design"", ""Wireframing"", ""Prototyping"", ""Design Systems"", ""User Research""]",Full-time,Hybrid,"Noida, Uttar Pradesh, India",1212146,2093708,INR,Per Annum,Mid-level,2,4,High,200,False,False,Active,True,2026-09-03 00:06:02
46,5,Tata Consultancy Services (TCS),MNC,False,IT Services & Consulting,Generative AI & LLM Systems Engineer,AI/ML,"Architect autonomous AI agents, structured LLM extraction pipelines, and RAG document search systems.",Build agentic workflows with LangChain; implement prompt guardrails and evaluation metrics; optimize token latency.,4+ years engineering experience with 2+ years deploying production RAG / LLM systems.,"[""Python"", ""OpenAI API"", ""LangChain"", ""LlamaIndex"", ""RAG"", ""Prompt Engineering"", ""FastAPI""]",Full-time,Hybrid,"Delhi NCR / Gurugram, India",2920332,5110581,INR,Per Annum,Senior,4,8,High,191,False,False,Recently Posted,True,2026-09-11 08:06:02
